Vehcl,KBot,Ship,Air,Cnstr,Building,ID,Name,Side,Description,Energy,Metal,Corpse,Heap,DamageModifier,MaxDamage,RealDamage,EnergyUse,BuildTime,WorkerTime,SightDistance,RadarDistance,SonarDistance,RadarDistanceJam,SonarDistanceJam,Stealth,CloakCost,CloakCostMoving,MinCloakDistance,EnergyStorage,MetalStorage,MetalMake,MakesMetal,EnergyMake,ExtractsMetal,WindGenerator,BuildDistance,MaxVelocity,BrakeRate,Acceleration,TurnRate,CanMove,CanPatrol,CanStop,CanGuard,CanReclamate,CanAttack,CanDgun,CanCapture,CanLoad,CantBeTransported,TransportCapacity,TransportSize,OnOffable,Floater,Upright,NoAutoFire,ShootMe,FireStandOrders,StandingFireOrder,MobileStandOrders,StandingMoveOrder,SoundCategory,NoChaseCategory,wpri_badtargetcategory,wsec_badtargetcategory,wspe_badtargetcategory,MovementClass,ExplodeAs,SelfDestructAs,Category,Corpse,HealTime,DefaultMissionType,MaxWaterDepth,MinWaterDepth,MoveRate1,MoveRate2,FootPrintX,FootPrintZ,MaxSlope,CanFly,HoverAttack,Amphibious,ImmuneToParalyzer,SteeringMode,WaterLine,Cruisealt,BankScale,PitchScale,Level,DPM,Changed,File
False,False,False,False,True,False,ARMACK,Adv. Construction Kbot,ARM,Tech Level 2,4784,310,248,124,0,1040,1040,1,9300,150,280,0,0,0,0,0,0,0,0,100,100,0.5,0,17,0,0,120,1.2,0.5,0.18,1010,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,ARM_CKBOT,,,,,KBOTSS2,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_B NOWEAPON NOTAIR NOTSUB MOBILE,armack_dead,0,Standby,25,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,L2,3.35,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACK.fbi
False,False,False,False,True,False,ARMACSUB,Advanced Construction Sub,ARM,Tech Level 2,7568,676,541,270,0,820,820,1,16224,270,220,0,480,0,0,0,0,0,0,100,100,0.9,0,17,0,0,150,2.5,0.2,0.032,256,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,ARM_CSUB,,,,,BOATD3,SMALL_UNITEX,SMALL_UNIT,ALL ARM LEVEL2 NOWEAPON NOTAIR L2CONS MOBILE CTRL_B,armacsub_dead,0,Standby,0,20,0,0,3,3,0,0,0,0,0,0,20,0,0,0,L2,1.21,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACSUB.fbi
False,False,False,False,True,False,ARMACV,Adv. Construction Vehicle,ARM,Tech Level 2,5963,457,366,183,0,1365,1365,1,10968,180,270,0,0,0,0,0,0,0,0,100,100,0.6,0,21,0,0,120,1.56,0.036,0.018,270,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ARM_CVEHICLE,,,,,TANKSH3,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_B NOWEAPON NOTAIR NOTSUB MOBILE,armacv_dead,0,Standby,18,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,L2,2.99,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMACV.fbi
False,False,False,False,False,True,ARMAFRT,Pantheon,ARM,Submersible Missile Tower,4687,368,294,147,0.25,860,3440,2,8736,181,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,ARM_KBOT,ALL,NOTAIR,,,,MEDIUM_BUILDINGEX,MEDIUM_BUILDING,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armafrt_dead,0,GUARD_NOMOVE,0,10,0,0,3,3,0,0,0,0,0,0,3,0,0,0,L2,9.35,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAFRT.fbi
True,False,False,False,False,False,ARMAH,Swatter,ARM,Anti-Air Hovercraft,1670,135,108,54,0,488,488,2,3240,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,2.15,0.05,0.04,460,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,ARM_HOVER_SM,ALL,NOTAIR,,,TANKHOVER3,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL1 NOTAIR NOTSUB MOBILE CTRL_H CTRL_W,armah_dead,0,Standby,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,L1,3.61,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAH.fbi
False,False,False,False,False,True,ARMAHP,Adv Hovercraft Platform,ARM,Tech Level 2,8199,2036,1629,814,0,2709,2709,0,16288,240,300,0,0,0,0,0,0,0,0,200,200,0.5,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,ARM_HOVER_PLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,armahp_dead,0,,0,0,0,0,8,7,10,0,0,0,0,0,0,0,0,0,L2,1.33,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAHP.fbi
False,False,False,False,False,True,ARMAHPNS,Adv Floating Hovercraft Platform,ARM,Tech Level 2,8432,2091,1673,836,0,2525,2525,0,16728,240,280,0,0,0,0,0,0,0,0,200,200,0.5,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,ARM_HOVER_PLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,ARMAHPNS_dead,0,,0,5,0,0,8,7,0,0,0,0,0,0,4,0,0,0,L2,1.21,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAHPNS.fbi
False,False,False,False,False,True,ARMALAB,Adv. Kbot Lab,ARM,Tech Level 2,7354,1987,1590,795,0,3005,3005,0,16728,240,240,0,0,0,0,0,0,0,0,200,200,0.5,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,KBOTPLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,armalab_dead,0,,0,0,0,0,5,6,10,0,0,0,0,0,0,0,0,0,L2,1.51,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMALAB.fbi
False,False,False,False,False,True,ARMAMB,Ambusher,ARM,Stealth Medium-Range Cannon,15821,1970,1576,788,0.4,3540,8850,0,19700,0,410,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,GUARD,ALL,VTOL,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armamb_dead,0,GUARD_NOMOVE,0,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,L2,4.49,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAMB.fbi
False,False,False,False,False,True,ARMAMD,Protector,ARM,Anti Missile Defense System,70000,1437,1150,575,0.5,2420,4840,0,86220,0,410,0,0,0,0,0,300,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,ARM_AMD,ALL,NOTSUB,,,,ATOMIC_BLAST,CRAWL_BLASTSML,ALL ARM LEVEL2 NOTAIR NOTSUB ANTI SILO,armamd_dead,0,,10,0,0,0,4,4,30,0,0,0,1,0,0,0,0,0,L2,3.37,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAMD.fbi
False,True,False,False,False,False,ARMAMPH,Pelican,ARM,Amphibious Kbot,2850,255,204,102,0,900,900,1,6120,0,310,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.6,0.18,0.12,560,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,ARM_AMPHIB,VTOL,VTOL,NOTAIR,,TANKHOVER3,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_H CTRL_G CTRL_K NOTAIR NOTSUB MOBILE CTRL_W,armamph_dead,0,Standby,0,0,0,0,3,3,14,0,0,0,0,0,3,0,0,0,L2,3.53,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAMPH.fbi
True,False,False,False,False,False,ARMANAC,Anaconda,ARM,Hovertank,2410,195,156,78,0,1030,1030,2.4,4500,0,280,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,2,0.024,0.02,390,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,ARM_HOVER_SM,VTOL,VTOL,,,TANKHOVER3,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL1 NOTAIR NOTSUB MOBILE CTRL_H CTRL_W,armanac_dead,0,Standby,0,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,L1,4.58,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMANAC.fbi
False,False,False,False,False,True,ARMANNI,Annihilator,ARM,Energy weapon,27527,2750,2200,1100,0.5,3675,7350,0,44000,0,480,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,ARM_ANNI,ALL,VTOL,,,,ATOMIC_BLASTSML,ATOMIC_BLAST,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armanni_dead,0,GUARD_NOMOVE,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,L2,2.67,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMANNI.fbi
False,False,False,False,False,True,ARMAP,Aircraft Plant,ARM,Tech Level 1,1370,770,616,308,0,1850,1850,0,7700,120,265,800,0,0,0,0,0,0,0,100,100,0.2,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,AIRPLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL1 CTRL_F NOWEAPON NOTAIR NOTSUB l1plant,armap_dead,0,,0,0,0,0,7,6,10,0,0,0,0,0,0,0,0,0,L1,2.4,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAP.fbi
False,False,False,False,False,True,ARMARAD,Advanced Radar Tower,ARM,Long Range Radar Tower,2330,132,106,53,0.625,130,208,17,4732,0,640,4008,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,ARM_ADVRADAR,,,,,,SMALL_BUILDINGEX,SMALL_BUILDING,ALL ARM LEVEL2 CTRL_R NOWEAPON NOTAIR NOTSUB,armarad_dead,0,,0,0,0,0,2,2,20,0,0,0,0,0,0,0,0,0,L2,1.58,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARAD.fbi
False,False,False,False,False,True,ARMARCH,Arch,ARM,Heavy Gatling Plasma Battery,21242,3136,2509,1254,0,2723,2723,8,25088,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,GUARD,ALL,VTOL,,,,SMALL_BUILDING,ESTOR_BUILDING,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armarch_dead,0,GUARD_NOMOVE,0,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,L2,0.87,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARCH.fbi
False,False,False,False,False,True,ARMARL,Warden,ARM,Pop-up Missile Tower,4130,350,280,140,0.4,920,2300,0,8400,181,460,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,0,ARM_KBOT,ALL,VTOL,,ALL,,MEDIUM_BUILDINGEX,MEDIUM_BUILDING,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armarl_dead,0,GUARD_NOMOVE,0,0,0,0,3,3,25,0,0,0,0,0,2,0,0,0,L2,6.57,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARL.fbi
True,False,False,False,False,False,ARMARSPD,MARS,ARM,Mobile Aircraft Repair,2400,215,172,86,0,850,850,1,5160,120,380,720,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,1.05,0.15,0.07,420,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,2,ARM_BIGSPD,VTOL,VTOL,,,SPID4,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,armspid_dead,0,Standby,12,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,L2,3.95,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARSPD.fbi
True,False,False,False,False,False,ARMARTH,Big John,ARM,Long Range Artillery Hovertank,132500,6024,4819,2410,0,7420,7420,20,180720,0,420,0,252,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1.5,0.015,0.005,270,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,ARM_HOVER_BIG,ALL,VTOL,,,TANKHOVER4,ESTOR_BUILDINGEX,CRAWL_BLASTSML,ALL ARM LEVEL3 CTRL_H L3H NOTAIR NOTSUB MOBILE CTRL_W,armArtH_DEAD,127,Standby,255,0,0,0,4,4,16,0,0,0,0,0,0,0,0,0,L3,1.23,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARTH.fbi
False,False,False,False,False,True,ARMARTIC,Meerkat,ARM,Pop-up Stealth Gauss Cannon,7580,695,556,278,0.4,1880,4700,0,13900,0,420,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,VIPE,ALL,VTOL,,,,MEDIUM_BUILDINGEX,MEDIUM_BUILDING,ALL ARM LEVEL2 CTRL_X NOTAIR NOTSUB,armartic_dead,0,GUARD_NOMOVE,0,0,0,0,2,2,10,0,0,0,0,0,0,0,0,0,L2,6.76,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMARTIC.fbi
False,True,False,False,False,False,ARMASER,Eraser,ARM,Radar Jamming Kbot,1576,73,58,29,0,305,305,10,4380,0,480,0,0,700,0,0,0,0,0,0,0,0,0,10,0,0,0,1.1,0.2,0.1,950,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,ARM_JAM,ALL,VTOL,,,KBOTSF2,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL2 NOWEAPON NOTAIR NOTSUB MOBILE CTRL_R,armaser_dead,0,Standby,112,0,0,0,2,2,32,0,0,0,0,0,0,0,0,0,L2,4.18,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMASER.fbi
False,False,False,False,False,True,ARMASON,Advanced Sonar Station,ARM,Extended Sonar,2469,163,130,65,0.4,220,550,12,5868,0,650,0,2880,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,ARM_SONAR,,,,,,SMALL_BUILDINGEX,SMALL_BUILDING,ALL ARM LEVEL2 CTRL_R NOWEAPON NOTAIR UNDERWATER,armason_dead,0,,0,24,0,0,4,4,10,0,0,0,0,0,0,0,0,0,L2,3.37,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMASON.fbi
False,False,False,False,False,True,ARMASP,Air Repair Pad,ARM,Automatically repairs aircraft,2127,106,85,42,0,680,680,0,4240,120,420,0,0,0,0,0,0,0,0,100,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,AIRPLANT,,,,,,BIG_UNITEX,BIG_UNIT,ALL ARM LEVEL1 NOWEAPON NOTAIR NOTSUB,armasp_dead,0,,1,0,0,0,4,4,10,0,0,0,0,0,0,0,0,0,L1,6.42,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMASP.fbi
False,False,False,False,False,True,ARMASY,Adv. Shipyard,ARM,Tech Level 2,5803,2319,1855,928,0,2820,2820,0,18552,360,250,0,0,0,0,0,0,0,0,200,200,0.8,0,12,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,SHIPYARD,ALL,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR,armasy_dead,0,,0,30,0,0,9,8,0,0,0,0,0,0,1,0,0,0,L2,1.22,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMASY.fbi
False,False,False,False,False,True,ARMATIDE,Advanced Tidal Generator,ARM,Produces Energy - 2.5x tidal,1742,185,148,74,0,620,620,0,4440,0,180,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,ARM_TIDE,,,,,,MEDIUM_BUILDINGEX,MEDIUM_BUILDING,ALL ARM LEVEL1 ENERGY E15 NOWEAPON NOTAIR,armATIDE_dead,0,,0,24,0,0,4,4,0,0,0,0,0,0,2,0,0,0,L1,3.35,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMATIDE.fbi
False,False,False,False,False,True,ARMATL,Advanced Torpedo Launcher,ARM,Advanced Torpedo Launcher,6942,1252,1002,501,0,2050,2050,0.1,12520,0,320,0,720,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,ADV_TORPLAUNCH,ALL,NOTSUB,,,,SMALL_UNITEX,SMALL_UNIT,ALL ARM LEVEL2 NOTAIR UNDERWATER CTRL_T CTRL_X,armatl_dead,0,GUARD_NOMOVE,0,1,0,0,4,4,0,0,0,0,0,0,30,0,0,0,L2,1.64,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMATL.fbi
False,False,False,True,False,False,ARMATLAS,Atlas,ARM,Air Transport,2727,107,86,43,0,300,300,4,6420,0,290,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1,0.04,128,1,1,1,1,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,1,ARM_VTOL,,,,,,SMALL_UNITEX,SMALL_UNIT,ALL ARM LEVEL1 VTOL NOWEAPON NOTSUB MOBILE NOAI CTRL_T,,0,VTOL_standby,0,0,0,0,3,3,10,1,0,0,1,0,0,90,1,0,L1,2.8,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMATLAS.fbi
False,False,False,False,False,True,ARMAVP,Adv. Vehicle Plant,ARM,Tech Level 2,7200,1974,1579,790,0,2735,2735,0,15792,240,238,0,0,0,0,0,0,0,0,200,200,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,TANKPLANT,,,,,,LARGE_BUILDINGEX,LARGE_BUILDING,ALL ARM LEVEL2 CTRL_F NOWEAPON NOTAIR NOTSUB,armavp_dead,0,,0,0,0,0,6,6,10,0,0,0,0,0,0,0,0,0,L2,1.39,False,C:\Games\Cavedog\git\mayhem\assets\UnitsM\ARMAVP.fbi
